[2024-06-14T22:00:13.902Z] debug: 	Saved 2 profiles, took: 10.18ms
[2024-06-14T22:15:42.882Z] debug: 	No default: mod_muzzle mod found on template: weapon_remington_model_870_12g and multiple items found in existing pool
[2024-06-14T22:15:42.925Z] debug: 	No default: mod_pistol_grip mod found on template: weapon_mossberg_590a1_12g and multiple items found in existing pool
[2024-06-14T22:15:43.441Z] debug: 	No default: mod_muzzle mod found on template: weapon_remington_model_870_12g and multiple items found in existing pool
[2024-06-14T22:15:43.649Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:15:44.116Z] debug: 	Failed to place item 5 of 6 items into assault containers: TacticalVest. Tried 4 times, reason: NO_SPACE, skipping
[2024-06-14T22:15:44.143Z] debug: 	No default: mod_pistol_grip mod found on template: weapon_mossberg_590a1_12g and multiple items found in existing pool
[2024-06-14T22:15:44.196Z] debug: 	Failed to place item 5 of 6 items into assault containers: TacticalVest. Tried 4 times, reason: NO_SPACE, skipping
[2024-06-14T22:15:44.259Z] debug: 	Generated 50 assault () normal bots
[2024-06-14T22:15:44.386Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:15:44.873Z] debug: 	No default: mod_muzzle mod found on template: weapon_remington_model_870_12g and multiple items found in existing pool
[2024-06-14T22:15:45.082Z] debug: 	No default: mod_pistol_grip mod found on template: weapon_mossberg_590a1_12g and multiple items found in existing pool
[2024-06-14T22:15:45.465Z] debug: 	No default: mod_muzzle mod found on template: weapon_remington_model_870_12g and multiple items found in existing pool
[2024-06-14T22:15:45.927Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:15:46.603Z] debug: 	Generated 50 assault () easy bots
[2024-06-14T22:15:47.312Z] debug: 	Generated 5 bossKolontay () normal bots
[2024-06-14T22:15:48.757Z] debug: 	Generated 10 followerKolontayAssault () normal bots
[2024-06-14T22:15:50.285Z] debug: 	Generated 10 followerKolontaySecurity () normal bots
[2024-06-14T22:15:50.289Z] debug: 	Saved 2 profiles, took: 3.23ms
[2024-06-14T22:15:51.585Z] info: 	[Requête Client] /singleplayer/sandbox/maxpatrol
[2024-06-14T22:15:51.610Z] info: 	[Requête Client] /vcql/zones/get
[2024-06-14T22:15:52.774Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:15:52.817Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:15:52.817Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:15:52.817Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:15:52.818Z] debug: 	No default: mod_muzzle mod found on template: weapon_molot_op_sks_762x39 and multiple items found in existing pool
[2024-06-14T22:15:52.845Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:15:52.846Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:15:52.846Z] debug: 	Plate slot: Left_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:15:52.846Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:15:52.846Z] debug: 	Plate slot: Right_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:15:52.930Z] debug: 	No default: mod_handguard mod found on template: weapon_lone_star_tx15_designated_marksman_556x45 and multiple items found in existing pool
[2024-06-14T22:15:52.962Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:15:52.963Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:15:52.963Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:15:52.990Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:15:53.019Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:15:53.019Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:15:53.046Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:15:53.047Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:15:53.078Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:15:53.078Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:15:53.078Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:15:53.132Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_akms_762x39 and multiple items found in existing pool
[2024-06-14T22:15:53.162Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:15:53.214Z] debug: 	Generated 15 sptBear () hard bots
[2024-06-14T22:15:53.215Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:15:53.784Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:15:54.208Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:15:54.561Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:15:55.084Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:15:55.123Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:15:55.243Z] debug: 	No default: mod_muzzle mod found on template: weapon_remington_model_870_12g and multiple items found in existing pool
[2024-06-14T22:15:55.285Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:15:55.559Z] debug: 	No default: mod_pistol_grip mod found on template: weapon_mossberg_590a1_12g and multiple items found in existing pool
[2024-06-14T22:15:55.769Z] debug: 	No default: mod_muzzle mod found on template: weapon_remington_model_870_12g and multiple items found in existing pool
[2024-06-14T22:15:56.393Z] debug: 	Generated 50 assault () hard bots
[2024-06-14T22:15:56.395Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:15:57.822Z] debug: 	[WS] Pinging joueur: 666c649000017156028c2690
[2024-06-14T22:15:57.822Z] debug: 	[WS] Socket perdu, suppression du handle
[2024-06-14T22:15:59.174Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:06.414Z] debug: 	Saved 2 profiles, took: 3.53ms
[2024-06-14T22:16:07.029Z] info: 	[Requête Client] /fika/update/ping
[2024-06-14T22:16:26.446Z] debug: 	Saved 2 profiles, took: 9.49ms
[2024-06-14T22:16:26.565Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:16:26.567Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:16:31.564Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:31.565Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:31.573Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:31.573Z] debug: 	Plate slot: Left_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:31.573Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:31.573Z] debug: 	Plate slot: Right_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:31.574Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_ak104_762x39 and multiple items found in existing pool
[2024-06-14T22:16:31.661Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.662Z] debug: 	Plate slot: Left_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:31.662Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.662Z] debug: 	Plate slot: Right_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:31.662Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_ak105_545x39 and multiple items found in existing pool
[2024-06-14T22:16:31.795Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:16:31.827Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.828Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.828Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:31.894Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.895Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.895Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:31.924Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.924Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.924Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:31.952Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.952Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:31.953Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:31.953Z] debug: 	No default: mod_reciever mod found on template: weapon_molot_akm_vpo_209_366_TKM and multiple items found in existing pool
[2024-06-14T22:16:32.011Z] debug: 	No default: mod_reciever mod found on template: weapon_glock_glock_17_gen3_9x19 and multiple items found in existing pool
[2024-06-14T22:16:32.045Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:32.045Z] debug: 	Plate slot: Left_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.070Z] debug: 	Generated 15 sptBear () easy bots
[2024-06-14T22:16:32.497Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:32.505Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.505Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:32.505Z] debug: 	Plate slot: Left_side_plate selection for armor: 609e8540d5c319764c2bc2e9 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.505Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:32.505Z] debug: 	Plate slot: Right_side_plate selection for armor: 609e8540d5c319764c2bc2e9 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.533Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:16:32.589Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:32.589Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.589Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.620Z] debug: 	No default: mod_muzzle mod found on template: weapon_kalashnikov_mp155_12g and multiple items found in existing pool
[2024-06-14T22:16:32.647Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.647Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.647Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.678Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.679Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:16:32.679Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.707Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.735Z] warn: 	L'emplacement requis 'mod_muzzle' sur muzzle_pp-91-01_zmz_std_9x18pm, mod_muzzle était vide sur sptusec
[2024-06-14T22:16:32.735Z] warn: 	Arme 57f3c6bd24597738e730fa2f weapon_zmz_pp-91-01_9x18pm a été générée incorrectement, remplacement par un preset d'arme, voir erreur au-dessus
[2024-06-14T22:16:32.762Z] debug: 	No default: mod_muzzle mod found on template: weapon_kalashnikov_mp155_12g and multiple items found in existing pool
[2024-06-14T22:16:32.788Z] debug: 	No default: mod_handguard mod found on template: weapon_izhmash_akms_762x39 and multiple items found in existing pool
[2024-06-14T22:16:32.820Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.820Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.820Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.854Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.855Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.855Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.939Z] debug: 	Generated 15 sptUsec () normal bots
[2024-06-14T22:16:32.942Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:32.955Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:32.955Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:32.957Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_ak74n_545x39 and multiple items found in existing pool
[2024-06-14T22:16:33.129Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:33.129Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:33.167Z] debug: 	No default: mod_muzzle mod found on template: weapon_kalashnikov_mp155_12g and multiple items found in existing pool
[2024-06-14T22:16:33.199Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:33.366Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:16:33.366Z] debug: 	Plate slot: Left_side_plate selection for armor: 609e8540d5c319764c2bc2e9 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:33.366Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:33.366Z] debug: 	Plate slot: Right_side_plate selection for armor: 609e8540d5c319764c2bc2e9 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:33.367Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_akms_762x39 and multiple items found in existing pool
[2024-06-14T22:16:33.454Z] debug: 	No default: mod_muzzle mod found on template: weapon_molot_op_sks_762x39 and multiple items found in existing pool
[2024-06-14T22:16:33.476Z] debug: 	Generated 15 sptBear () normal bots
[2024-06-14T22:16:33.479Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:34.359Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:34.470Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:34.503Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:16:34.503Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:34.531Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:34.531Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:34.694Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:34.694Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:16:34.694Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:34.722Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:34.722Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:16:34.722Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:34.749Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:34.749Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:34.749Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_aks74n_545x39 and multiple items found in existing pool
[2024-06-14T22:16:34.805Z] debug: 	No default: mod_handguard mod found on template: weapon_molot_vepr_km_vpo_136_762x39 and multiple items found in existing pool
[2024-06-14T22:16:34.880Z] debug: 	Generated 15 sptUsec () easy bots
[2024-06-14T22:16:34.881Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:34.887Z] debug: 	No default: mod_muzzle mod found on template: weapon_benelli_m3_s90_12g and multiple items found in existing pool
[2024-06-14T22:16:34.918Z] debug: 	No default: mod_muzzle mod found on template: weapon_benelli_m3_s90_12g and multiple items found in existing pool
[2024-06-14T22:16:35.067Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:16:35.068Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:35.099Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:16:35.155Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_aks74n_545x39 and multiple items found in existing pool
[2024-06-14T22:16:35.182Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:16:35.182Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:35.182Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:16:35.318Z] debug: 	No default: mod_reciever mod found on template: weapon_molot_vepr_km_vpo_136_762x39 and multiple items found in existing pool
[2024-06-14T22:16:35.347Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:16:35.371Z] debug: 	Generated 15 sptUsec () hard bots
[2024-06-14T22:16:35.372Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:35.557Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:36.743Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:36.897Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:37.151Z] info: 	[Requête Client] /fika/update/ping
[2024-06-14T22:16:37.153Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:37.300Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:37.729Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:37.857Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:37.859Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:38.093Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:38.183Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:38.501Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:38.944Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:39.016Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:39.272Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:40.079Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:40.138Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:40.632Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:40.899Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:40.945Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:41.261Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0?retry=1
[2024-06-14T22:16:41.553Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:41.601Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:41.613Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:41.614Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:16:41.615Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
